channel,mean,std,count,sem,z,p_uncorrected,p_fdr,significant
AF3,0.033586513675371486,0.36499643928493636,30,0.06663892773514148,0.5040074145379732,0.6142561666623039,0.9996030454813589,False
AF4,0.0214707704813701,0.3775051445931091,30,0.06892269442263174,0.3115196041192474,0.7554056418733675,0.9996030454813589,False
AF7,0.029506590989161023,0.33706750928463086,30,0.06153982607909145,0.4794714718764224,0.6316032585705771,0.9996030454813589,False
AF8,0.03358067691143145,0.3535263517953026,30,0.06454478585026474,0.5202693985124395,0.6028758215183823,0.9996030454813589,False
AFz,0.012486395916810243,0.37157581284808344,30,0.06784015150673774,0.18405613253340275,0.8539694196458747,0.9996030454813589,False
C1,-3.1921080549869585e-05,0.3514289257948607,30,0.06416185000588477,-0.0004975087306077032,0.9996030454813589,0.9996030454813589,False
C2,-0.02165891203137679,0.2853146106005439,30,0.05209108273724016,-0.41578924632128506,0.6775642285170531,0.9996030454813589,False
C3,-0.01142257908758436,0.3407029086562045,30,0.062203556159541776,-0.18363225180064216,0.8543019600675412,0.9996030454813589,False
C4,0.0005726655352865079,0.2946860323584021,30,0.05380206243479804,0.010643932767085149,0.9915075307358732,0.9996030454813589,False
C5,-0.04945084200793927,0.267534211413393,30,0.048844840831823805,-1.0124066567890346,0.31134365682147,0.9996030454813589,False
C6,-0.031839449121624765,0.23810270060612568,30,0.04347140670829134,-0.732422793108096,0.46391055093923805,0.9996030454813589,False
CP1,-0.026282686420458574,0.33274932706717136,30,0.06075143747645136,-0.43262657662456694,0.665286078665257,0.9996030454813589,False
CP2,-0.03150465477464513,0.29206533658758516,30,0.05332359103811977,-0.5908202009898996,0.5546408982006479,0.9996030454813589,False
CP3,0.021205660991842224,0.3192168000045967,30,0.058280747365710935,0.36385362148458694,0.7159673188605853,0.9996030454813589,False
CP4,-0.018717423557891556,0.2960638096082468,30,0.054053608994450504,-0.34627518691329584,0.7291359144403959,0.9996030454813589,False
CP5,0.020047485810926736,0.3030335390009637,30,0.05532610166381644,0.36235131715484475,0.7170895143369225,0.9996030454813589,False
CP6,-0.032073304151591854,0.24949246978293482,30,0.04555088454259648,-0.704120336490915,0.481357836426346,0.9996030454813589,False
CPz,-0.028934357390556196,0.30725711790918203,30,0.05609721814429452,-0.5157895230407076,0.6060014207657876,0.9996030454813589,False
Cz,-0.002016685928040321,0.31773412932951295,30,0.058010049974346015,-0.03476442321515267,0.9722675896345465,0.9996030454813589,False
F1,0.01586081871360493,0.33526895999959494,30,0.061211457407691794,0.25911519485585505,0.7955463612769758,0.9996030454813589,False
F2,0.02193685693397161,0.36990035584809255,30,0.06753425630906276,0.3248256238075697,0.745313050251355,0.9996030454813589,False
F3,0.009852032878833747,0.30854230764131896,30,0.05633186061328299,0.17489272982598145,0.8611639229896044,0.9996030454813589,False
F4,0.009229488099119115,0.33783166819990673,30,0.06167934177089654,0.14963661793605681,0.8810513164936873,0.9996030454813589,False
F5,-0.011115894556615042,0.3082530606986295,30,0.05627905158821619,-0.19751389269933092,0.8434254107768153,0.9996030454813589,False
F6,0.009372709114515489,0.3304095949719235,30,0.06032426279408934,0.15537212856638244,0.8765279554972865,0.9996030454813589,False
F7,-0.03401435922053366,0.3123633556960028,30,0.05702948535090352,-0.5964346164311787,0.5508849208815711,0.9996030454813589,False
F8,-0.0035957958380319326,0.27089999002889426,30,0.04945934512224999,-0.07270205113197734,0.9420432163035921,0.9996030454813589,False
FC1,0.04424465073137271,0.3457956750594856,30,0.06313336383926894,0.7008125029424227,0.4834200342918269,0.9996030454813589,False
FC2,0.03239893266917723,0.3485152008519319,30,0.06362987904668226,0.5091779703904145,0.6106274830582987,0.9996030454813589,False
FC3,0.0034093612343825326,0.32417954954543127,30,0.059186817322632104,0.057603388534947404,0.9540645504964904,0.9996030454813589,False
FC4,0.019830286672114266,0.3157560728346274,30,0.057648907920256544,0.343983735122003,0.7308585180432501,0.9996030454813589,False
FC5,-0.054265757635773355,0.2724127605935747,30,0.049735537976451756,-1.091086169842307,0.27523496779539336,0.9996030454813589,False
FC6,-0.015454719508587293,0.26354604200145,30,0.04811670404846604,-0.32119239699004254,0.7480645934796035,0.9996030454813589,False
FCz,0.006747068357390055,0.35754042582240014,30,0.06527765214764371,0.10335954396965241,0.9176776193593466,0.9996030454813589,False
FT7,-0.06350516445909607,0.2636679469894592,30,0.04813896075240105,-1.3192051400056157,0.1871005403818209,0.9996030454813589,False
FT8,-0.03710753997703933,0.23691578347586523,30,0.043254706279580356,-0.8578844516291867,0.3909562705896561,0.9996030454813589,False
Fp1,0.03850581941700486,0.3673742338406406,30,0.06707305164023221,0.5740877815362144,0.5659084011305924,0.9996030454813589,False
Fp2,0.02913601483166739,0.3883546734622005,30,0.07090353832260003,0.41092469460555087,0.6811277541600473,0.9996030454813589,False
Fpz,0.023597685699412126,0.373959184409454,30,0.0682752936290974,0.3456255468867778,0.7296241442458489,0.9996030454813589,False
Fz,0.005962387788055268,0.36619169258980633,30,0.06685715013414477,0.08918100421708229,0.9289380616564198,0.9996030454813589,False
Iz,-0.03837468838365951,0.3466955216101213,30,0.06329765259062774,-0.6062576859183798,0.5443436522138256,0.9996030454813589,False
O1,0.026547632128313275,0.3900594329666036,30,0.07121478340116101,0.3727826001908541,0.709310253955798,0.9996030454813589,False
O2,-0.03245304721131666,0.3813112073732677,30,0.0696175832359563,-0.46616164628011975,0.6410998002257595,0.9996030454813589,False
Oz,-0.030563965420205712,0.395563714011179,30,0.07221972303148169,-0.42320801212270515,0.6721435016378587,0.9996030454813589,False
P1,0.02375997595916927,0.3887769824938412,30,0.07098064105022263,0.33473881903035796,0.737822115709241,0.9996030454813589,False
P10,-0.038179882380928926,0.32397219982916176,30,0.05914896061700107,-0.6454869533236558,0.5186116703565267,0.9996030454813589,False
P2,-0.005327701993085168,0.3399025322398122,30,0.06205742808695737,-0.0858511568610252,0.9315847392645642,0.9996030454813589,False
P3,0.03939953839487783,0.34785555264628365,30,0.06350944431259847,0.6203729039251266,0.5350123073401236,0.9996030454813589,False
P4,-0.0015965762820688715,0.38001158354346193,30,0.06938030547333769,-0.023011952328206787,0.9816407388953245,0.9996030454813589,False
P5,0.07037085075132789,0.3747224630704068,30,0.06841464860918613,1.0285933229492477,0.30367081689085307,0.9996030454813589,False
P6,-0.04232521396824169,0.37351657900446844,30,0.06819448530763596,-0.620654496874726,0.534826974636814,0.9996030454813589,False
P7,0.08977376401400587,0.40053420932351347,30,0.07312720716632812,1.2276383509329858,0.21958275844304742,0.9996030454813589,False
P8,-0.021724170552656023,0.35943394297553816,30,0.0656233595002426,-0.33104325529959666,0.7406118128232471,0.9996030454813589,False
P9,0.07599993097144887,0.3678667461402681,30,0.06716297167235044,1.1315748704838267,0.2578132099671344,0.9996030454813589,False
PO3,0.05483103855775985,0.4393065703040897,30,0.0802060394052597,0.6836273049304088,0.49421053813094407,0.9996030454813589,False
PO4,-0.014576815201741509,0.46462466244194384,30,0.08482846946422533,-0.17183871516023264,0.8635643279160432,0.9996030454813589,False
PO7,0.09709264371216411,0.4796491864381273,30,0.08757155970038778,1.1087234719165813,0.26754949302327824,0.9996030454813589,False
PO8,-0.042159561185404794,0.45039000930566897,30,0.08222958925722552,-0.5127054818858922,0.6081573544830581,0.9996030454813589,False
POz,-0.03568440378690728,0.42344926598339916,30,0.0773109049793709,-0.46157012127110725,0.6443896252977088,0.9996030454813589,False
Pz,-0.021583080445388345,0.34921569083429543,30,0.0637577704348979,-0.33851686309242107,0.7349737214999941,0.9996030454813589,False
T7,-0.019167226461555407,0.2560822209163908,30,0.04675400299064284,-0.4099590459749823,0.6818359901676203,0.9996030454813589,False
T8,-0.031712446092338614,0.23292577477886137,30,0.04252623369025009,-0.7457148997328035,0.4558396565979841,0.9996030454813589,False
TP7,-0.003258440286278402,0.31700991890970587,30,0.057877827846576475,-0.056298593218044236,0.9551039395085972,0.9996030454813589,False
TP8,-0.06863698154285922,0.22783625051628084,30,0.04159701794172169,-1.6500457229655525,0.09893358470880442,0.9996030454813589,False
